127.0.0.1 - - [14/Jul/2017:17:26:56 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [14/Jul/2017:17:27:01 +0530] "GET /WheelskartFront/ HTTP/1.1" 500 17863
0:0:0:0:0:0:0:1 - - [14/Jul/2017:17:29:14 +0530] "GET /WheelskartFront/ HTTP/1.1" 200 7925
0:0:0:0:0:0:0:1 - - [14/Jul/2017:17:29:14 +0530] "GET /WheelskartFront/Resources/images/bf2b62c46d04fadf9a061eb48cb35878.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:17:29:14 +0530] "GET /WheelskartFront/Resources/images/honda-bikes-54a.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:17:29:14 +0530] "GET /WheelskartFront/Resources/images/cool-bikes-17.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:17:29:15 +0530] "GET /WheelskartFront/Resources/images/e08ed49f43740e8f7c43c2059b25b19f.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:17:29:33 +0530] "GET /WheelskartFront/LoginPage HTTP/1.1" 200 8314
0:0:0:0:0:0:0:1 - - [14/Jul/2017:17:29:46 +0530] "POST /WheelskartFront/validate HTTP/1.1" 200 7913
0:0:0:0:0:0:0:1 - - [14/Jul/2017:17:29:49 +0530] "GET /WheelskartFront/manageProducts HTTP/1.1" 200 11104
0:0:0:0:0:0:0:1 - - [14/Jul/2017:17:34:42 +0530] "GET /WheelskartFront/manageProducts HTTP/1.1" 200 11024
0:0:0:0:0:0:0:1 - - [14/Jul/2017:17:34:45 +0530] "GET /WheelskartFront/Resources/images/honda-bikes-54a.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:17:34:45 +0530] "GET /WheelskartFront/Resources/images/bf2b62c46d04fadf9a061eb48cb35878.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:17:34:45 +0530] "GET /WheelskartFront/Resources/images/e08ed49f43740e8f7c43c2059b25b19f.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:17:34:45 +0530] "GET /WheelskartFront/Resources/images/cool-bikes-17.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:17:35:46 +0530] "POST /WheelskartFront/manage-product-add?= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Jul/2017:17:35:55 +0530] "POST /WheelskartFront/manage-product-add?= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Jul/2017:17:35:57 +0530] "POST /WheelskartFront/manage-product-add?= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Jul/2017:17:36:03 +0530] "GET /WheelskartFront/ HTTP/1.1" 200 7925
0:0:0:0:0:0:0:1 - - [14/Jul/2017:17:36:11 +0530] "GET /WheelskartFront/BIKES.jsp HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [14/Jul/2017:17:36:13 +0530] "GET /WheelskartFront/BIKES.jsp HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [14/Jul/2017:17:36:17 +0530] "GET /WheelskartFront/LoginPage HTTP/1.1" 200 8314
